id,SalePrice
1461,119391.26950785187
1462,154201.98853149876
1463,182402.464740918
1464,193822.21468530287
1465,199135.00789970372
1466,171653.01561163203
1467,178680.97873330905
1468,160757.88169082563
1469,193790.76397121898
1470,120326.45635230588
1471,190308.15504058302
1472,97543.11557527003
1473,95303.99132975205
1474,146515.95019308914
1475,116217.83773227451
1476,363665.8888150456
1477,253691.75319425605
1478,295531.82215395477
1479,301274.96128208295
1480,461658.90053628816
1481,329757.97260204714
1482,209996.56526419768
1483,178936.6347725431
1484,163653.6302777873
1485,192219.78507830796
1486,193249.47349621615
1487,342173.9436086018
1488,237942.6946954845
1489,195079.01836127572
1490,232397.6870407485
1491,195428.4062216493
1492,92019.70736514167
1493,189710.369689213
1494,300308.69959589146
1495,292926.7395587206
1496,232516.20453654378
1497,180345.70789510943
1498,168809.03220085712
1499,163926.56948096008
1500,153543.5171418966
1501,172807.85293158924
1502,145286.5842149724
1503,284826.5277212347
1504,242065.268174216
1505,224781.4829904172
1506,187626.42441753796
1507,245118.0514780437
1508,202728.59573651533
1509,162664.2032476304
1510,144203.97749868783
1511,149073.2042557101
1512,174642.36311484524
1513,149794.31940623088
1514,160028.87850047945
1515,193428.5505349043
1516,157892.84519260877
1517,168226.3494878745
1518,132218.25075068185
1519,210545.49330419523
1520,127532.01944328872
1521,130897.10015553566
1522,177786.6593051959
1523,110819.59752883477
1524,125406.98607888781
1525,119076.17793972132
1526,113629.67522205878
1527,107910.06317273306
1528,136981.73700324498
1529,150513.6079587774
1530,185414.85488942487
1531,106128.02138485076
1532,98120.22982491826
1533,144064.03111498785
1534,126668.41233236785
1535,149622.73796000832
1536,106347.92227781612
1537,64403.89846862501
1538,152501.82361746248
1539,194196.6130626053
1540,96891.72803466642
1541,138019.9449857194
1542,142129.06236487345
1543,188632.70939499213
1544,84252.69402821289
1545,113408.79015270864
1546,134199.28782301565
1547,127336.99092356034
1548,139005.62636981037
1549,118755.80927276298
1550,136673.9450932609
1551,108207.87481547272
1552,136357.66078352102
1553,151241.05383741978
1554,116676.068814854
1555,160180.79193614144
1556,85034.55842574117
1557,106284.63808270861
1558,99001.00203810359
1559,61887.38326129838
1560,136835.58256657387
1561,126502.27276483367
1562,130808.48500298729
1563,118433.98865509832
1564,155970.91135599813
1565,151154.47360757279
1566,236749.60105969885
1567,78535.77034207848
1568,230937.78506562556
1569,129111.81540977299
1570,138090.99952886655
1571,124886.40253658096
1572,142985.04165876683
1573,235686.54484264113
1574,120569.94963098981
1575,226583.18651871238
1576,241849.29250202113
1577,182780.622929357
1578,148017.993506749
1579,143676.54179162002
1580,195557.77176768094
1581,154057.3689056961
1582,125351.19580924742
1583,296273.00400629744
1584,216317.1849306093
1585,136409.61047946167
1586,67072.87571751358
1587,104141.79687382668
1588,151542.99251620146
1589,96206.9879741431
1590,134167.60202778337
1591,91789.86445117684
